window_ts,unit_parent_number,uat_event_ts,prod_event_ts,uat_delay,prod_delay,delay_improvement
2023-10-09 06:55:00.000000 UTC,620507,2023-10-09 07:05:00.910176 UTC,2023-10-09 07:06:27.315696 UTC,600,687,0
2023-10-09 05:00:00.000000 UTC,620892,2023-10-09 05:04:37.858723 UTC,2023-10-09 05:56:27.535382 UTC,277,3387,0
2023-10-09 02:20:00.000000 UTC,620907,2023-10-09 02:25:13.228497 UTC,2023-10-09 02:56:49.528028 UTC,313,2209,0
2023-10-09 09:45:00.000000 UTC,620734,2023-10-09 09:54:48.094791 UTC,2023-10-09 09:56:41.755269 UTC,588,701,0
2023-10-09 09:20:00.000000 UTC,620734,2023-10-09 09:24:44.693652 UTC,2023-10-09 09:46:36.720020 UTC,284,1596,0
2023-10-09 09:55:00.000000 UTC,620734,2023-10-09 10:05:01.358387 UTC,2023-10-09 10:16:43.978829 UTC,601,1303,0
2023-10-09 10:05:00.000000 UTC,620734,2023-10-09 10:14:52.841930 UTC,2023-10-09 10:16:43.978829 UTC,592,703,0
2023-10-09 09:35:00.000000 UTC,620734,2023-10-09 09:44:45.113013 UTC,2023-10-09 09:46:36.720020 UTC,585,696,0
2023-10-09 10:00:00.000000 UTC,620734,2023-10-09 10:05:01.358387 UTC,2023-10-09 10:16:43.978829 UTC,301,1003,0
2023-10-09 09:50:00.000000 UTC,620734,2023-10-09 09:54:48.094791 UTC,2023-10-09 10:16:43.978829 UTC,288,1603,0
2023-10-09 11:20:00.000000 UTC,620734,2023-10-09 11:24:47.554368 UTC,2023-10-09 11:36:47.180437 UTC,287,1007,0
2023-10-09 02:00:00.000000 UTC,621246,2023-10-09 02:04:54.775029 UTC,2023-10-09 03:06:31.261241 UTC,294,3991,0
2023-10-09 01:35:00.000000 UTC,621246,2023-10-09 01:45:02.362195 UTC,2023-10-09 01:46:51.942578 UTC,602,711,0
2023-10-09 02:05:00.000000 UTC,621246,2023-10-09 02:14:49.102369 UTC,2023-10-09 02:36:54.808774 UTC,589,1914,0
2023-10-09 02:05:00.000000 UTC,621399,2023-10-09 02:14:49.102369 UTC,2023-10-09 02:26:54.012980 UTC,589,1314,0
2023-10-09 22:50:00.000000 UTC,620535,2023-10-09 22:54:30.256928 UTC,2023-10-09 23:46:37.873257 UTC,270,3397,0
2023-10-09 22:55:00.000000 UTC,620535,2023-10-09 23:04:56.723724 UTC,2023-10-09 23:36:37.684480 UTC,596,2497,0
2023-10-09 01:40:00.000000 UTC,620299,2023-10-09 01:45:02.362195 UTC,2023-10-09 02:06:47.537464 UTC,302,1607,0
2023-10-09 20:35:00.000000 UTC,620299,2023-10-09 20:44:40.224391 UTC,2023-10-09 20:46:42.586585 UTC,580,702,0
2023-10-09 21:50:00.000000 UTC,620120,2023-10-09 21:54:43.925723 UTC,2023-10-09 22:06:35.683838 UTC,283,995,0
2023-10-09 22:00:00.000000 UTC,620120,2023-10-09 22:04:40.462504 UTC,2023-10-09 22:56:38.161106 UTC,280,3398,0
2023-10-09 21:45:00.000000 UTC,620120,2023-10-09 21:54:43.925723 UTC,2023-10-09 21:56:34.458884 UTC,583,694,0
2023-10-09 21:55:00.000000 UTC,620120,2023-10-09 22:04:40.462504 UTC,2023-10-09 22:46:40.189024 UTC,580,3100,0
2023-10-08 23:55:00.000000 UTC,182110,2023-10-09 00:04:47.393871 UTC,2023-10-09 00:06:52.339487 UTC,587,712,0
2023-10-08 06:55:00.000000 UTC,621354,2023-10-08 07:06:20.048971 UTC,2023-10-08 07:16:28.227300 UTC,680,1288,0
2023-10-08 07:00:00.000000 UTC,621354,2023-10-08 07:06:20.048971 UTC,2023-10-08 07:26:27.264853 UTC,380,1587,0
2023-10-08 07:05:00.000000 UTC,621354,2023-10-08 07:06:20.048971 UTC,2023-10-08 07:36:34.732701 UTC,80,1894,0
2023-10-08 15:55:00.000000 UTC,621384,2023-10-08 16:04:38.188259 UTC,2023-10-08 16:46:33.363323 UTC,578,3093,0
2023-10-08 02:00:00.000000 UTC,620446,2023-10-08 02:05:00.500147 UTC,2023-10-08 02:26:59.402699 UTC,300,1619,0
2023-10-08 02:05:00.000000 UTC,620446,2023-10-08 02:14:56.226500 UTC,2023-10-08 02:16:42.165477 UTC,596,702,0
2023-10-08 02:10:00.000000 UTC,620446,2023-10-08 02:14:56.226500 UTC,2023-10-08 02:16:42.165477 UTC,296,402,0
2023-10-08 02:55:00.000000 UTC,620446,2023-10-08 03:04:33.621642 UTC,2023-10-08 03:16:33.265799 UTC,573,1293,0
2023-10-08 02:50:00.000000 UTC,620446,2023-10-08 02:54:44.915322 UTC,2023-10-08 03:26:29.502209 UTC,284,2189,0
2023-10-08 17:45:00.000000 UTC,620636,2023-10-08 17:54:34.759867 UTC,2023-10-08 18:16:38.434004 UTC,574,1898,0
2023-10-08 17:40:00.000000 UTC,620636,2023-10-08 17:44:38.937789 UTC,2023-10-08 18:06:44.160434 UTC,278,1604,0
2023-10-08 23:35:00.000000 UTC,620277,2023-10-08 23:44:40.105095 UTC,2023-10-09 00:06:52.339487 UTC,580,1912,0
2023-10-08 23:40:00.000000 UTC,620277,2023-10-08 23:44:40.105095 UTC,2023-10-08 23:56:49.468764 UTC,280,1009,0
2023-10-08 23:10:00.000000 UTC,620277,2023-10-08 23:14:44.833889 UTC,2023-10-08 23:26:24.755399 UTC,284,984,0
2023-10-08 23:50:00.000000 UTC,620277,2023-10-08 23:54:36.617005 UTC,2023-10-09 00:06:52.339487 UTC,276,1012,0
2023-10-08 23:45:00.000000 UTC,620277,2023-10-08 23:54:36.617005 UTC,2023-10-09 00:06:52.339487 UTC,576,1312,0
2023-10-08 23:55:00.000000 UTC,620277,2023-10-09 00:04:47.393871 UTC,2023-10-09 00:06:52.339487 UTC,587,712,0
2023-10-08 23:05:00.000000 UTC,620277,2023-10-08 23:14:44.833889 UTC,2023-10-08 23:26:24.755399 UTC,584,1284,0
2023-10-08 03:45:00.000000 UTC,620264,2023-10-08 03:54:41.226529 UTC,2023-10-08 04:36:27.204353 UTC,581,3087,0
2023-10-08 03:50:00.000000 UTC,620264,2023-10-08 03:54:41.226529 UTC,2023-10-08 04:36:27.204353 UTC,281,2787,0
2023-10-08 19:25:00.000000 UTC,620569,2023-10-08 19:34:38.849455 UTC,2023-10-08 20:16:38.719668 UTC,578,3098,0
2023-10-08 13:25:00.000000 UTC,621425,2023-10-08 13:34:42.390003 UTC,2023-10-08 14:06:33.009266 UTC,582,2493,0
2023-10-08 19:20:00.000000 UTC,620892,2023-10-08 19:24:52.181641 UTC,2023-10-08 19:46:34.491591 UTC,292,1594,0
2023-10-10 00:15:00.000000 UTC,620596,2023-10-10 00:24:46.941028 UTC,2023-10-10 00:46:46.560904 UTC,586,1906,0
2023-10-10 00:15:00.000000 UTC,620569,2023-10-10 00:24:46.941028 UTC,2023-10-10 01:06:52.284117 UTC,586,3112,0
2023-10-10 22:25:00.000000 UTC,621040,2023-10-10 22:34:37.021119 UTC,2023-10-10 22:56:41.543634 UTC,577,1901,0
